t,s,ey,lo,up,v,v_ref,ax,delta,throttle,brake,steer
17,0.0,6.128294543789048e-05,11.729330062866211,18.329303741455078,0.00036545469176983984,6.0,nan,0.6333499410773268,1.0,0.0,1.0
18,0.0,1.948034428542189e-05,11.729330062866211,18.329303741455078,0.0002784021334492856,6.0,nan,0.6333629102920207,1.0,0.0,1.0
19,0.0,-1.0899396800642669e-05,11.729330062866211,18.329303741455078,0.00021106108852837963,6.0,nan,0.633373202615976,1.0,0.0,1.0
20,0.0,-3.2727883528649304e-05,11.729330062866211,18.329303741455078,0.00015957555928917586,6.0,nan,0.6333811489245282,1.0,0.0,1.0
21,0.0,-4.694819274204953e-05,11.729330062866211,18.329303741455078,0.00012071275746197523,6.0,nan,0.6333866107840292,1.0,0.0,1.0
22,0.0,-6.023601890643715e-05,11.729330062866211,18.329303741455078,9.119243078684797e-05,6.0,nan,0.6333910130012358,1.0,0.0,1.0
23,0.0,-7.354503265975809e-05,11.729330062866211,18.329303741455078,6.897593743285761e-05,6.0,nan,0.6333950788424053,1.0,0.0,1.0
24,0.0,-8.20962870178299e-05,11.729330062866211,18.329303741455078,5.212459889834828e-05,6.0,nan,0.6333971808879917,1.0,0.0,1.0
25,0.0,-8.97044645324363e-05,11.729330062866211,18.329303741455078,3.9468330662985134e-05,6.0,nan,0.6333997177614885,1.0,0.0,1.0
26,0.0,-9.35085532897395e-05,11.729330062866211,18.329303741455078,2.9751368502220133e-05,6.0,nan,0.6334010703639353,1.0,0.0,1.0
27,0.0,-9.731264204704271e-05,11.729330062866211,18.329303741455078,1.0030604461796374e-05,6.0,nan,0.6334030186490311,1.0,0.0,1.0
28,0.0,-0.00010016306016641385,11.729330062866211,18.329303741455078,1.6568428260552236e-05,6.0,nan,0.6334033679534858,1.0,0.0,1.0
29,0.0,-0.00010301347828577112,11.729330062866211,18.329303741455078,7.3395381847698625e-06,6.0,nan,0.6334045918902804,1.0,0.0,1.0
30,0.0,-0.00010586389640512839,11.729330062866211,18.329303741455078,5.883263806840813e-06,6.0,nan,0.6334044578772039,1.0,0.0,1.0
31,0.0,-0.00010777123768102026,11.729330062866211,18.329303741455078,4.531866504327108e-06,6.0,nan,0.633404620124762,1.0,0.0,1.0
32,0.0,-0.00010871431452449953,11.729330062866211,18.329303741455078,3.3708299903656765e-06,6.0,nan,0.6334047806565696,1.0,0.0,1.0
33,0.0,-0.00011062165580037753,11.729330062866211,18.329303741455078,2.5827721299331674e-06,6.0,nan,0.6334048396854104,1.0,0.0,1.0
34,0.0,-0.00011062165580037753,11.729330062866211,18.329303741455078,1.9428189683772584e-06,6.0,nan,0.6334040312981545,1.0,0.0,1.0
35,0.0,-0.00011061106200591087,11.729330062866211,18.329303741455078,1.521702092106236e-06,6.0,nan,0.6334040716790322,1.0,0.0,1.0
36,0.0,-0.0001115647326438568,11.729330062866211,18.329303741455078,8.657504491685831e-07,6.0,nan,0.6334040934401278,1.0,0.0,1.0
37,0.0,-0.0001115647326438568,11.729330062866211,18.329303741455078,8.544127485546909e-07,6.0,nan,0.6334041191273941,1.0,0.0,1.0
38,0.0,-0.0001115647326438568,11.729330062866211,18.329303741455078,7.433470397809166e-07,6.0,nan,0.6334041297774798,1.0,0.0,1.0
39,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,5.797626442942208e-07,6.0,nan,0.6334041454635801,1.0,0.0,1.0
40,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,4.4887736635931345e-07,6.0,nan,0.6334041826142558,1.0,0.0,1.0
41,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,3.726589950765442e-07,6.0,nan,0.6334038678576104,1.0,0.0,1.0
42,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,2.7595563805946065e-07,6.0,nan,0.6334038771304887,1.0,0.0,1.0
43,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,1.937389733333548e-07,6.0,nan,0.6334038850142395,1.0,0.0,1.0
44,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,1.241576021219443e-07,6.0,nan,0.6334038916863924,1.0,0.0,1.0
45,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,1.9076458106971641e-07,6.0,nan,0.6334038852994537,1.0,0.0,1.0
46,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,9.211416697688647e-08,6.0,nan,0.6334038947590356,1.0,0.0,1.0
