t,s,ey,lo,up,v,v_ref,ax,delta,throttle,brake,steer
18,1.440708203849074,-0.02996451049390248,-5.149999999999993,1.6000000000000227,4.470401640527392,32.0,nan,0.09961418479043742,0.9999999999947253,0.0,0.1630706390893812
19,1.6917871886291427,-0.025183389794717553,-5.149999999999993,1.6000000000000227,4.817252273324123,32.0,nan,0.04204790680142764,0.9999999999927398,0.0,0.06883335991660665
20,1.9588702033127219,-0.02901426333238888,-5.149999999999993,1.6000000000000227,5.164862346924703,32.0,nan,0.0008029046220042911,0.9999999999963771,0.0,0.0013143727483540734
21,2.2331691584078204,-0.03354792467579877,-5.149999999999993,1.6000000000000227,5.444825030222811,32.0,nan,0.0879666629956942,0.9999999999902537,0.0,0.1440033865000832
22,2.5146339477728663,-0.03212502675023008,-5.149999999999993,1.6000000000000227,5.546406192432463,32.0,nan,0.08448396774143717,0.9999999999826578,0.0,0.1383021368029641
23,2.807397703047699,-0.03242484821251516,-5.149999999999993,1.6000000000000227,5.70210342204331,32.0,nan,0.0414354059406781,0.9999999999492818,0.0,0.06783068236606155
24,3.1171445955924266,-0.03208038657479412,-5.149999999999993,1.6000000000000227,6.000018943507787,32.0,nan,0.10171728923235401,0.9999999999282452,0.0,0.1665134679007251
25,3.443250067982438,-0.028080430556057957,-5.149999999999993,1.6000000000000227,6.342169873706574,32.0,nan,0.0538810695091161,0.9999999999666654,0.0,0.08820451081495369
26,3.789205321631318,-0.03174406235155577,-5.149999999999993,1.6000000000000227,6.671683943375618,32.0,nan,0.010766807536156647,0.9999999999687906,0.0,0.01762550373289784
27,4.155323097544206,-0.03527198154713726,-5.149999999999993,1.6000000000000227,7.116015465186372,32.0,nan,0.08314093309853453,0.9999999999386391,0.0,0.13610355918073036
28,4.53499785311319,-0.03551199786931614,-5.149999999999993,1.6000000000000227,7.433522915247647,32.0,nan,0.06340107868341134,0.9999999999573237,0.0,0.10378897786103772
29,4.931653439484215,-0.03417436600743255,-5.149999999999993,1.6000000000000227,7.728677957200996,32.0,nan,0.11639760861626923,0.9999999999745437,0.0,0.19054547768936608
30,5.344907679242859,-0.02841121464379178,-5.149999999999993,1.6000000000000227,8.078912928942762,32.0,nan,0.052094245852739536,0.9999999998721227,0.0,0.08527944069368194
31,5.777214070210823,-0.02683402075482442,-5.149999999999993,1.6000000000000227,8.417738136570986,32.0,nan,0.0713088182066879,0.9999999997904647,0.0,0.11673412358025316
32,6.22799964818658,-0.02527768367071047,-5.149999999999993,1.6000000000000227,8.805383173698099,32.0,nan,0.007521150267000983,0.9999999999120677,0.0,0.012312290496652816
33,6.699562347927829,-0.030435185405738006,-5.149999999999993,1.6000000000000227,9.181740819584274,32.0,nan,0.05987240386585362,0.9999999999266442,0.0,0.09801245859474762
34,7.190026780636871,-0.033419463121323115,-5.149999999999993,1.6000000000000227,9.593343141718721,32.0,nan,0.03541354551776756,0.9999999997099833,0.0,0.05797276273607186
35,7.699407462642831,-0.037716681034835366,-5.149999999999993,1.6000000000000227,9.976417551016052,32.0,nan,0.08941887670371412,0.9999999991928087,0.0,0.14638069268352852
36,8.225671712365175,-0.04034877079543158,-5.149999999999993,1.6000000000000227,10.328901187271496,32.0,nan,0.05281631710407874,0.9999999997720044,0.0,0.0864614874139524
37,8.769773818290263,-0.04040339147895956,-5.149999999999993,1.6000000000000227,10.68553953192311,32.0,nan,0.08769052024818981,0.999999999573107,0.0,0.14355133467222184
38,9.329999016192616,-0.04580339498595461,-5.149999999999993,1.6000000000000227,11.018004357745413,32.0,nan,0.01996130838976869,0.999999999338146,0.0,0.03267710640836649
39,9.906725938285197,-0.050638904239010844,-5.149999999999993,1.6000000000000227,11.361555431414473,32.0,nan,0.07229325430542047,0.9999999999154356,0.0,0.11834566739904459
40,10.499709167189684,-0.050428631366896695,-5.149999999999993,1.6000000000000227,11.686521427965994,32.0,nan,0.12560427323466933,0.9999999999981941,0.0,0.20561699271870176
41,11.107554933972404,-0.049501729153056145,-5.149999999999993,1.6000000000000227,11.981090823040576,32.0,nan,0.054855264160818255,0.9999999997761126,0.0,0.08979928915686085
42,11.732110297139583,-0.04883188192748156,-5.149999999999993,1.6000000000000227,12.315598130924068,32.0,nan,0.050384846074696864,0.9999999999680445,0.0,0.08248111518561209
