frame,speed,steer,throttle,brake,ey,s,ax,x,y
0,0.9800000786781311,0.0,0.0,0.0,-0.0011751893589894858,0.1127892625772424,19.600001573562622,-87.97054290771484,119.38467407226562
1,1.470000147819519,0.09475550055503845,0.8500000238418579,0.0,-0.0011751893589894858,0.1127892625772424,9.800001382827759,-87.97054290771484,119.38467407226562
2,1.9600002765655518,0.12071788311004639,0.8500000238418579,0.0,-0.0011751893589894858,0.1127892625772424,9.800002574920654,-87.97054290771484,119.38467407226562
3,2.450000286102295,0.1055832952260971,0.8500000238418579,0.0,-0.0011751893589894858,0.1127892625772424,9.800000190734863,-87.97054290771484,119.38467407226562
4,2.4964511394891336,0.1055832952260971,0.8500000238418579,0.0,-0.0011751893589894858,0.1127892625772424,0.9290170677367726,-87.97054290771484,119.38467407226562
5,0.9997271299410243,0.1055832952260971,0.8500000238418579,0.0,-0.0011751893589894858,0.1127892625772424,-29.934480190962187,-87.97054290771484,119.38467407226562
6,0.270263910293641,0.1055832952260971,0.8500000238418579,0.0,-0.0011751893589894858,0.1127892625772424,-14.589264392947667,-87.97054290771484,119.38467407226562
7,0.055170830339195814,0.1055832952260971,0.8500000238418579,0.0,-0.0011751893589894858,0.1127892625772424,-4.3018615990889035,-87.97054290771484,119.38467407226562
8,0.17599132657053404,0.1055832952260971,0.8500000238418579,0.0,-0.0011751893589894858,0.1127892625772424,2.4164099246267643,-87.97054290771484,119.38467407226562
9,0.1992841064930059,0.1055832952260971,0.8500000238418579,0.0,-0.0011751893589894858,0.1127892625772424,0.46585559844943725,-87.97054290771484,119.38467407226562
10,0.4543650699053697,0.1055832952260971,0.8500000238418579,0.0,-0.0008940330331904655,0.11964497277647515,5.1016192682472745,-87.97521209716797,119.37964630126953
11,1.2464750347078435,0.10502258688211441,0.8500000238418579,0.0,0.0012254054691893208,0.1663665474347986,15.842199296049477,-88.00688934326172,119.3452377319336
12,1.8472354744982356,0.10202037543058395,0.8500000238418579,0.0,0.004969530131763912,0.24679933361854506,12.01520879580784,-88.06135559082031,119.28593444824219
13,2.3268047013918767,0.09784899652004242,0.8500000238418579,0.0,0.010157491466338832,0.35354233845425265,9.591384537872822,-88.13348388671875,119.20707702636719
14,2.730211488340043,0.09315058588981628,0.8500000238418579,0.0,0.01655512635399461,0.482032469697934,8.068135738963322,-88.22019958496094,119.11204528808594
15,3.0864257760933813,0.08768835663795471,0.8500000238418579,0.0,0.02417657351784578,0.62908131980483,7.12428575506677,-88.31922912597656,119.0030746459961
16,3.4164993249474316,0.08222818374633789,0.8500000238418579,0.0,0.03297207281538271,0.7930490576367355,6.601470977081005,-88.429443359375,118.88135528564453
17,3.730016999672795,0.07642363756895065,0.8500000238418579,0.0,0.040673374429857634,0.9739596227893206,6.2703534945072725,-88.55010223388672,118.74752044677734
18,4.026235096610844,0.07066772878170013,0.8500000238418579,0.0,0.047310166589516964,1.169188526285003,5.924361938760985,-88.68061065673828,118.6021728515625
19,4.311884617627385,0.06492210924625397,0.8500000238418579,0.0,0.05489677981586091,1.3788808905553078,5.712990420330808,-88.8204574584961,118.44573974609375
20,4.5906641696066,0.05935246869921684,0.8500000238418579,0.0,0.06347939106352768,1.6026113560088837,5.575591039584307,-88.96931457519531,118.27849578857422
21,4.864871797085953,0.054008666425943375,0.8500000238418579,0.0,0.07094099376621607,1.8418298677685638,5.484152549587051,-89.12696838378906,118.10060119628906
22,5.117168885663115,0.16291113197803497,0.8500000238418579,0.0,0.08004960682772919,2.0924103315953992,5.045941771543241,-89.28955841064453,117.90971374511719
23,5.300749005494733,0.12037505954504013,0.8500000238418579,0.0,0.09520620171080121,2.354513177499237,3.6716023966323696,-89.45547485351562,117.70624542236328
24,5.360089180028978,0.10551836341619492,0.8500000238418579,0.0,0.11238001035435813,2.6207592659114374,1.1868034906848912,-89.6227035522461,117.49835968017578
25,5.636356359472301,-0.04448164254426956,0.8500000238418579,0.0,0.11950791418738899,2.8989191752611587,5.525343588866463,-89.79863739013672,117.2862548828125
26,5.796215058696218,-0.04434129595756531,0.8500000238418579,0.0,0.11963064237549881,3.1854311323911535,3.1971739844783365,-89.98704528808594,117.07040405273438
27,5.9339550792237175,-0.040822021663188934,0.8500000238418579,0.0,0.11733565946051387,3.478928132694705,2.7548004105499935,-90.18186950683594,116.85088348388672
28,6.133774692274853,-0.034414902329444885,0.8500000238418579,0.0,0.10639081269196511,3.784090334656431,3.9963922610227165,-90.38410949707031,116.62581634521484
29,6.380896256960782,-0.030680600553750992,0.8500000238418579,0.0,0.09384278307636798,4.0977793765922215,4.942431293718581,-90.5944595336914,116.39276885986328
30,6.670332068805102,-0.025176329538226128,0.8500000238418579,0.0,0.07842050648502882,4.427710165375081,5.788716236886398,-90.81526947021484,116.14974212646484
31,6.89827270738115,-0.022456014528870583,0.8500000238418579,0.0,0.055392777060247485,4.76691476206871,4.558812771520948,-91.04408264160156,115.89827728271484
32,7.147396915521162,-0.01783534698188305,0.8500000238418579,0.0,0.030735611550816312,5.118307653518959,4.98248416280024,-91.28174591064453,115.63827514648438
33,7.408214367488038,-0.01595328003168106,0.8500000238418579,0.0,-0.0005097665277681558,5.48271938646644,5.216349039337533,-91.5282974243164,115.3687744140625
34,7.675475055028645,-0.01232878863811493,0.8500000238418579,0.0,-0.03678559902451513,5.859519711232604,5.345213750812139,-91.78428649902344,115.08991241455078
35,7.940922060823667,-0.010864867828786373,0.8500000238418579,0.0,-0.07732036381622685,6.247714029010201,5.308940115900427,-92.0492935180664,114.80132293701172
