t,s,ey,lo,up,v,v_ref,ax,delta,throttle,brake,steer
50,15.929969506740859,-1.9839707594863867,-5.149999999999993,-1.699999999999985,10.66359323352747,32.0,nan,0.0,0.0,1.0,0.0
51,16.399831470410138,-2.170301747429813,-5.149999999999993,-1.699999999999985,10.322873256236191,32.0,nan,0.0,0.0,1.0,0.0
52,16.81036282935721,-2.354649479117149,-5.149999999999993,-1.699999999999985,9.96696273721069,32.0,nan,0.0,0.0,0.8272376660941388,0.0
53,17.247302888825832,-2.537857070718734,-5.149999999999993,-1.699999999999985,9.666957980460609,32.0,nan,0.0,0.0,0.6399863101471467,0.0
54,17.633239773617795,-2.7170845269187964,-5.149999999999993,-1.699999999999985,9.352659581199873,32.0,nan,0.0,0.0,0.6800231735102239,0.0
55,18.043171338584667,-2.891534211778996,-5.149999999999993,-1.699999999999985,9.088840470107222,32.0,nan,0.6108652381980153,1.0,0.0,0.85
56,18.447252402579515,-3.049034387983094,-5.149999999999993,-1.3999999999999844,8.802492966607792,32.0,nan,0.6108652381980153,1.0,0.0,0.85
57,18.804048950617346,-3.189449712723706,-5.149999999999993,-1.3999999999999844,8.595569180108926,32.0,nan,0.610865210656944,0.9999999879228151,0.0,0.85
58,19.203513651549994,-3.3039172026305947,-5.149999999999993,-1.3999999999999844,8.42033555159081,32.0,nan,0.6108652381980153,1.0,0.0,0.85
59,19.557840826533443,-3.3902312570567346,-5.149999999999993,-1.3999999999999844,8.29311419160449,32.0,nan,0.6108645618561487,0.9999995344190875,0.0,0.85
60,19.962101423680437,-3.444588803538845,-5.149999999999993,-1.3999999999999844,8.238862579478047,32.0,nan,0.6108652254702168,0.999999989784351,0.0,0.85
61,20.333957419126353,-3.462941485434844,-5.149999999999993,-0.9499999999999833,8.246936676903942,32.0,nan,0.6108652183061447,0.9999999931760943,0.0,0.85
62,20.742419945162364,-3.4505775846920868,-5.149999999999993,-0.9499999999999833,8.372098700961258,32.0,nan,0.6108652381980153,1.0,0.0,0.85
63,21.166958445828516,-3.400822897398295,-5.149999999999993,-0.9499999999999833,8.550205256888866,32.0,nan,0.6108652218452955,0.9999999996545629,0.0,0.85
64,21.54941126170083,-3.3170451026435894,-5.149999999999993,-0.9499999999999833,8.747835851215829,32.0,nan,0.6108652381980153,0.9999999998243416,0.0,0.85
65,21.98084881485212,-3.1952690254312586,-5.149999999999993,-0.9499999999999833,8.960671238566134,32.0,nan,0.6108652355070664,0.9999999999341694,0.0,0.85
66,22.36758596845617,-3.0354383227515447,-5.149999999999993,-0.6499999999999826,9.173799502908023,32.0,nan,0.6108652381898932,0.9999999998632655,0.0,0.85
67,22.792928420492554,-2.8370100285343973,-5.149999999999993,-0.6499999999999826,9.384362726743312,32.0,nan,0.6108652381752386,1.0,0.0,0.85
68,23.177355423470754,-2.6000411729113186,-5.149999999999993,-0.6499999999999826,9.586120568134243,32.0,nan,0.0,0.0,0.4004337174482232,0.0
69,23.605581941487777,-2.340563378735448,-5.149999999999993,-0.6499999999999826,9.906954665181077,32.0,nan,0.0,0.0,0.40000953750806534,0.0
70,24.0306328519049,-2.0617149862411,-5.149999999999993,1.6000000000000227,10.153513566809979,32.0,nan,0.5321922433189921,0.9999999999930604,0.0,0.85
71,24.42187063074583,-1.770973911709475,-5.149999999999993,1.6000000000000227,10.203200294672907,32.0,nan,0.03884211652735435,0.9999999996251022,0.0,0.06358540983922131
72,24.8439326039888,-1.4787850490954153,-5.149999999999993,1.6000000000000227,10.249582114529812,32.0,nan,-0.24239140064512119,1.0,0.0,-0.39680012134943043
73,25.256731133923406,-1.198115528986443,-5.149999999999993,1.6000000000000227,10.283081506379617,32.0,nan,-0.6088895439647639,0.9999999997981739,0.0,-0.85
74,25.70264558770307,-0.9347330031896701,-5.149999999999993,1.6000000000000227,10.329018360205872,32.0,nan,-0.6108652381140354,0.9999999996330672,0.0,-0.85
75,26.154448176812565,-0.6986947155432724,-5.149999999999993,1.6000000000000227,10.395841819161056,32.0,nan,-0.6108652379914421,0.9999999998184481,0.0,-0.85
76,26.634459541589944,-0.4974253290606617,-5.149999999999993,1.6000000000000227,10.44756416478482,32.0,nan,-0.6108652379649179,0.9999999990306397,0.0,-0.85
77,27.12401129708797,-0.337921151376858,-5.149999999999993,1.6000000000000227,10.460623509743188,32.0,nan,-0.6108652380553768,0.9999999989891348,0.0,-0.85
78,27.63417839274867,-0.2217153809572524,-5.149999999999993,1.6000000000000227,10.498530682656785,32.0,nan,-0.610865238165891,0.999999999765046,0.0,-0.85
79,28.154520996506843,-0.15464468513038804,-5.149999999999993,1.6000000000000227,10.575030102449587,32.0,nan,-0.6108652379454197,0.9999999987999638,0.0,-0.85
80,28.688070738591033,-0.1331673638323767,-5.149999999999993,1.6000000000000227,10.672832647388471,32.0,nan,-0.42533386565313414,0.999999999914983,0.0,-0.6962810110259701
81,29.23879154610189,-0.15767099922864003,-5.149999999999993,1.6000000000000227,10.88237203837661,32.0,nan,-0.0324067486335437,0.9999999991595736,0.0,-0.053050569269811484
82,29.806609938772965,-0.20854287809870203,-5.149999999999993,1.6000000000000227,11.233614047808109,32.0,nan,0.3618018035321653,0.9999999987869626,0.0,0.5922776103604135
83,30.394572175032753,-0.2737899361036478,-5.149999999999993,1.6000000000000227,11.626472240331884,32.0,nan,0.6108652368211568,0.9999999995294381,0.0,0.85
84,30.992377490425213,-0.3452048584965487,-5.149999999999993,1.6000000000000227,11.953749455795233,32.0,nan,0.6108652378768736,0.9999999992081097,0.0,0.85
85,31.60022702319436,-0.408729718589379,-5.149999999999993,1.6000000000000227,12.219334964412248,32.0,nan,0.6108652381125209,0.9999999986216663,0.0,0.85
86,32.22165272040223,-0.45449079495156575,-5.149999999999993,1.6000000000000227,12.414056835869506,32.0,nan,0.6108652380481532,0.999999997890067,0.0,0.85
87,32.84057809168533,-0.472022007368362,-5.149999999999993,1.6000000000000227,12.527615793790183,32.0,nan,0.6108652370542834,1.0,0.0,0.85
88,33.46044031725597,-0.4523959384266522,-5.149999999999993,1.6000000000000227,12.563618778343955,32.0,nan,0.6108652379512688,0.9999999981837172,0.0,0.85
89,34.087281382882495,-0.3934944717199731,-5.149999999999993,1.6000000000000227,12.595680900801094,32.0,nan,0.4797175376276998,0.9999999995967498,0.0,0.7853082932707275
90,34.71220143835883,-0.294602554852473,-5.149999999999993,1.6000000000000227,12.675215997503273,32.0,nan,0.2206489895412065,0.9999999999522808,0.0,0.3612073101296393
91,35.35179724811813,-0.16310136147437648,-5.149999999999993,1.6000000000000227,12.905433835508386,32.0,nan,-0.26405943557074074,1.0,0.0,-0.43227117710886087
92,36.01098018991763,-0.016799458703870864,-5.149999999999993,1.6000000000000227,13.2809880170448,32.0,nan,-0.6108652381980153,0.999999999080539,0.0,-0.85
93,36.685337714375024,0.12986382541067096,-5.149999999999993,1.6000000000000227,13.622089696570221,32.0,nan,-0.6108652379476067,0.9999999988052484,0.0,-0.85
94,37.375665292754874,0.2690421560926151,-5.149999999999993,1.6000000000000227,13.899633734649175,32.0,nan,-0.6108652381887932,0.999999998938853,0.0,-0.85
95,38.083744861992486,0.3971140148391318,-5.149999999999993,1.6000000000000227,14.123022549772358,32.0,nan,0.0,0.0,1.0,0.0
96,38.79944202592078,0.5257221216052527,-5.149999999999993,1.6000000000000227,14.430922061238814,32.0,nan,0.0,0.0,1.0,0.0
97,39.5261778704947,0.6498618312193849,-5.149999999999993,1.6000000000000227,14.603297275492471,32.0,nan,0.0,0.0,1.0,0.0
98,40.24980808004818,0.7650918719842901,-5.149999999999993,1.6000000000000227,14.5713174647067,32.0,nan,0.0,0.0,1.0,0.0
99,40.964638107817784,0.869413744116362,-5.149999999999993,1.6000000000000227,14.380598059654583,32.0,nan,0.0,0.0,1.0,0.0
100,41.66722471232157,0.9628335333346755,-5.149999999999993,1.6000000000000227,14.1049664954958,32.0,nan,0.0,0.0,1.0,0.0
101,42.34059743452211,1.0429533356385294,-5.149999999999993,1.6000000000000227,13.778028151890576,32.0,nan,0.0,0.0,1.0,0.0
102,43.01135692071344,1.1134952544950263,-5.149999999999993,1.6000000000000227,13.419726788217066,32.0,nan,0.0,0.0,1.0,0.0
103,43.66506364305463,1.1757719745774242,-5.149999999999993,1.6000000000000227,13.043008539154922,32.0,nan,0.0,0.0,1.0,0.0
104,44.28381778593792,1.228958914882184,-5.149999999999993,1.6000000000000227,12.656434001211137,32.0,nan,0.0,0.0,1.0,0.0
105,44.9009589685435,1.2734734137167096,-5.149999999999993,1.6000000000000227,12.265713311089078,32.0,nan,0.0,0.0,1.0,0.0
106,45.49989681214858,1.312546950991333,-5.149999999999993,1.6000000000000227,11.874660908804554,32.0,nan,0.0,0.0,1.0,0.0
107,46.06170609062645,1.3441255287227,-5.149999999999993,1.6000000000000227,11.485822044567843,32.0,nan,0.0,0.0,1.0,0.0
108,46.623653270722656,1.369842049976225,-5.149999999999993,1.6000000000000227,11.100881242228194,32.0,nan,0.0,0.0,1.0,0.0
109,47.14798700255284,1.3917822503978525,-5.149999999999993,1.6000000000000227,10.720939638439386,32.0,nan,0.0,0.0,1.0,0.0
110,47.67350074613111,1.4064859679030273,-5.149999999999993,1.6000000000000227,10.346697938833017,32.0,nan,0.0,0.0,1.0,0.0
111,48.18119367500484,1.4194466234612435,-5.149999999999993,1.6000000000000227,9.978584983795518,32.0,nan,0.0,0.0,1.0,0.0
112,48.651309228281775,1.4259184065865038,-5.149999999999993,1.6000000000000227,9.616843756923265,32.0,nan,0.0,0.0,1.0,0.0
113,49.12427449160921,1.4312856883058378,-5.149999999999993,1.6000000000000227,9.262264161481696,32.0,nan,0.0,0.0,1.0,0.0
114,49.561131448087416,1.431291282114677,-5.149999999999993,1.6000000000000227,8.927616660347075,32.0,nan,0.0,0.0,1.0,0.0
115,50.00288471289832,1.4308973202398587,-5.149999999999993,1.6000000000000227,8.6155517422107,32.0,nan,0.0,0.0,1.0,0.0
116,50.409540632454494,1.4252646555881454,-5.149999999999993,1.6000000000000227,8.314565129448884,32.0,nan,0.0,0.0,1.0,0.0
117,50.80115870256394,1.4194960770269134,-5.149999999999993,1.6000000000000227,8.012881858726242,32.0,nan,0.0,0.0,1.0,0.0
118,51.19763850511553,1.4104342367254752,-5.149999999999993,1.6000000000000227,7.713257933900002,32.0,nan,0.0,0.0,1.0,0.0
119,51.559604260205795,1.4000199478602133,-5.149999999999993,1.6000000000000227,7.417214175775984,32.0,nan,0.0,0.0,1.0,0.0
120,51.926597543372914,1.3892965887006927,-5.149999999999993,1.6000000000000227,7.125839721322629,32.0,nan,0.0,0.0,1.0,0.0
121,52.25985902684278,1.3750164729079912,-5.149999999999993,1.6000000000000227,6.8398040115770735,32.0,nan,0.0,0.0,1.0,0.0
122,52.578063968879334,1.3615545992311513,-5.149999999999993,1.6000000000000227,6.559708164003224,32.0,nan,0.0,0.0,1.0,0.0
123,52.86372897403422,1.3490053532459307,-5.149999999999993,1.6000000000000227,6.160317667551092,32.0,nan,0.0,0.0,1.0,0.0
124,53.06348862073372,1.3377614792056887,-5.149999999999993,1.6000000000000227,4.80542116387686,32.0,nan,0.0,0.0,1.0,0.0
125,53.19609294258991,1.3302966967195997,-5.149999999999993,1.6000000000000227,3.4684259032191576,32.0,nan,0.0,0.0,1.0,0.0
126,53.26204628890422,1.326600250554224,-5.149999999999993,1.6000000000000227,2.126070781719561,32.0,nan,0.0,0.0,1.0,0.0
127,53.271910104750134,1.3260404392525766,-5.149999999999993,1.6000000000000227,0.7951222686616582,32.0,nan,0.0,0.0,1.0,0.0
128,53.27211683729263,1.3260256436611002,-5.149999999999993,1.6000000000000227,6.042827737980487e-05,32.0,nan,0.0,0.0,1.0,0.0
129,53.272407727743385,1.3260065143539193,-5.149999999999993,1.6000000000000227,0.0005512277596572148,32.0,nan,0.0,0.0,1.0,0.0
130,53.272675747602996,1.3259864878245564,-5.149999999999993,1.6000000000000227,0.0005868985023253531,32.0,nan,0.0,0.0,1.0,0.0
131,53.27289040274994,1.3259643677767543,-5.149999999999993,1.6000000000000227,0.0005042348861153371,32.0,nan,0.0,0.0,1.0,0.0
132,53.27304317243164,1.3259627257276103,-5.149999999999993,1.6000000000000227,0.00040084743019626687,32.0,nan,0.0,0.0,1.0,0.0
133,53.273165747065875,1.3259522638518382,-5.149999999999993,1.6000000000000227,0.0003077008210296152,32.0,nan,0.0,0.0,1.0,0.0
134,53.273257827578576,1.3259406056798086,-5.149999999999993,1.6000000000000227,0.00023217953443644857,32.0,nan,0.0,0.0,1.0,0.0
135,53.273341985486844,1.3259362719641186,-5.149999999999993,1.6000000000000227,0.00017363084365792762,32.0,nan,0.0,0.0,1.0,0.0
136,53.273395350199515,1.3259383654825432,-5.149999999999993,1.6000000000000227,0.00012925176131360676,32.0,nan,0.0,0.0,1.0,0.0
137,53.273433766925486,1.3259322373224756,-5.149999999999993,1.6000000000000227,9.594244961868923e-05,32.0,nan,0.0,0.0,1.0,0.0
138,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,7.111134930378356e-05,32.0,nan,0.0,0.0,1.0,0.0
139,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,5.26654994485369e-05,32.0,nan,0.0,0.0,1.0,0.0
140,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
141,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
142,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
143,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
144,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
145,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
146,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
147,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
148,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
149,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
150,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
151,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
